period,location,stateDescription,sectorid,sectorDescription,fueltypeid,fuelTypeDescription,generation,generation-units
2023,NH,New Hampshire,99,All Sectors,NUC,nuclear,9534.781,thousand megawatthours
2023,NJ,New Jersey,2,IPP Non-CHP,NUC,nuclear,28335.474,thousand megawatthours
2023,NJ,New Jersey,90,Electric Power Sector Non-CHP,NUC,nuclear,28335.474,thousand megawatthours
2023,NJ,New Jersey,94,Independent Power Producers,NUC,nuclear,28335.474,thousand megawatthours
2023,NJ,New Jersey,98,Electric Power,NUC,nuclear,28335.474,thousand megawatthours
2023,NJ,New Jersey,99,All Sectors,NUC,nuclear,28335.474,thousand megawatthours
2023,NY,New York,2,IPP Non-CHP,NUC,nuclear,27524.923,thousand megawatthours
2023,NY,New York,90,Electric Power Sector Non-CHP,NUC,nuclear,27524.923,thousand megawatthours
2023,NY,New York,94,Independent Power Producers,NUC,nuclear,27524.923,thousand megawatthours
2023,NY,New York,98,Electric Power,NUC,nuclear,27524.923,thousand megawatthours
2023,NY,New York,99,All Sectors,NUC,nuclear,27524.923,thousand megawatthours
2023,OH,Ohio,2,IPP Non-CHP,NUC,nuclear,16206.64,thousand megawatthours
2023,OH,Ohio,90,Electric Power Sector Non-CHP,NUC,nuclear,16206.64,thousand megawatthours
2023,OH,Ohio,94,Independent Power Producers,NUC,nuclear,16206.64,thousand megawatthours
2023,OH,Ohio,98,Electric Power,NUC,nuclear,16206.64,thousand megawatthours
2023,OH,Ohio,99,All Sectors,NUC,nuclear,16206.64,thousand megawatthours
2023,PA,Pennsylvania,2,IPP Non-CHP,NUC,nuclear,75304.581,thousand megawatthours
2023,PA,Pennsylvania,90,Electric Power Sector Non-CHP,NUC,nuclear,75304.581,thousand megawatthours
2023,PA,Pennsylvania,94,Independent Power Producers,NUC,nuclear,75304.581,thousand megawatthours
2023,PA,Pennsylvania,98,Electric Power,NUC,nuclear,75304.581,thousand megawatthours
2023,PA,Pennsylvania,99,All Sectors,NUC,nuclear,75304.581,thousand megawatthours
2023,PCC,Pacific Contiguous,1,Electric Utility,NUC,nuclear,26153.386,thousand megawatthours
2023,PCC,Pacific Contiguous,90,Electric Power Sector Non-CHP,NUC,nuclear,26153.386,thousand megawatthours
2023,PCC,Pacific Contiguous,98,Electric Power,NUC,nuclear,26153.386,thousand megawatthours
2023,PCC,Pacific Contiguous,99,All Sectors,NUC,nuclear,26153.386,thousand megawatthours
2023,SAT,South Atlantic,1,Electric Utility,NUC,nuclear,194938.031,thousand megawatthours
2023,SAT,South Atlantic,2,IPP Non-CHP,NUC,nuclear,14983.751,thousand megawatthours
2023,SAT,South Atlantic,90,Electric Power Sector Non-CHP,NUC,nuclear,209921.782,thousand megawatthours
2023,SAT,South Atlantic,94,Independent Power Producers,NUC,nuclear,14983.751,thousand megawatthours
2023,SAT,South Atlantic,98,Electric Power,NUC,nuclear,209921.782,thousand megawatthours
2023,SAT,South Atlantic,99,All Sectors,NUC,nuclear,209921.782,thousand megawatthours
2023,SC,South Carolina,1,Electric Utility,NUC,nuclear,55622.34,thousand megawatthours
2023,SC,South Carolina,90,Electric Power Sector Non-CHP,NUC,nuclear,55622.34,thousand megawatthours
2023,SC,South Carolina,98,Electric Power,NUC,nuclear,55622.34,thousand megawatthours
2023,SC,South Carolina,99,All Sectors,NUC,nuclear,55622.34,thousand megawatthours
2023,TN,Tennessee,1,Electric Utility,NUC,nuclear,37937.437,thousand megawatthours
2023,TN,Tennessee,90,Electric Power Sector Non-CHP,NUC,nuclear,37937.437,thousand megawatthours
2023,TN,Tennessee,98,Electric Power,NUC,nuclear,37937.437,thousand megawatthours
2023,TN,Tennessee,99,All Sectors,NUC,nuclear,37937.437,thousand megawatthours
2023,TX,Texas,2,IPP Non-CHP,NUC,nuclear,40679.87,thousand megawatthours
2023,TX,Texas,90,Electric Power Sector Non-CHP,NUC,nuclear,40679.87,thousand megawatthours
